Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
deviance    8.817   6.330 -2.947  4.627  8.391 12.855 21.414 1.072    40

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 18.5 and DIC = 27.3
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       19.549  14.708  1.000  5.000 15.500 36.000 39.000 1.222    16
S[2]       19.428  15.124  1.000  4.000 18.000 36.000 39.000 1.611     8
S[3]       16.983  13.460  1.000  5.000 13.000 31.000 39.000 1.791     7
S[4]       21.563  12.852  1.000  9.000 21.000 34.000 39.000 1.351    12
S[5]       21.618  15.275  1.000  5.000 28.000 38.000 39.000 1.391    11
S[6]       23.439  14.468  1.000  7.000 31.000 38.000 39.000 1.465    10
S[7]       20.635  14.373  1.000  5.000 19.000 36.000 39.000 1.238    15
S[8]       23.128  14.909  1.000  5.000 31.000 38.000 39.000 2.053     6
S[9]       24.534  14.383  1.000  9.000 32.000 38.000 39.000 1.632     8
S[10]      20.995  14.772  1.000  5.000 22.000 36.000 39.000 1.531     9
S[11]      22.204  15.009  1.000  5.000 28.000 38.000 39.000 1.881     7
S[12]      19.450  13.295  1.000  7.000 19.000 33.000 39.000 1.733     8
S[13]      22.693  13.771  1.000  9.000 25.000 37.000 39.000 1.287    14
S[14]      21.765  14.516  1.000  7.000 23.000 38.000 39.000 1.451    10
beta[1]     0.172   0.362 -0.310  0.000  0.000  0.190  1.231 1.046   150
beta[2]     0.183   0.341 -0.143  0.000  0.044  0.196  1.235 1.061    87
beta[3]     0.491   0.396  0.000  0.154  0.426  0.784  1.302 1.046    69
beta[4]     0.264   0.332 -0.160  0.000  0.158  0.494  1.021 1.030   130
beta[5]     0.001   0.161 -0.410  0.000  0.000  0.096  0.238 1.028   140
beta[6]    -0.140   0.570 -2.420 -0.062  0.000  0.094  0.264 1.197    65
beta[7]    -0.012   0.037 -0.128  0.000  0.000  0.000  0.024 1.054    88
beta[8]     0.098   0.079  0.000  0.000  0.108  0.160  0.241 1.050    57
beta[9]     0.008   0.106 -0.265  0.000  0.000  0.000  0.221 1.060    56
beta[10]    0.020   0.097 -0.241  0.000  0.000  0.070  0.209 1.059    89
beta[11]    0.042   0.168 -0.389  0.000  0.000  0.135  0.385 1.099    37
beta[12]    0.344   0.403 -0.099  0.000  0.172  0.588  1.286 1.054    60
beta[13]   -0.118   0.162 -0.494 -0.234  0.000  0.000  0.078 1.048    70
beta[14]   -0.069   0.179 -0.501 -0.155  0.000  0.000  0.162 1.080    41
gamma[1]    0.635   0.482  0.000  0.000  1.000  1.000  1.000 1.003   960
gamma[2]    0.581   0.493  0.000  0.000  1.000  1.000  1.000 1.024   110
gamma[3]    0.903   0.296  0.000  1.000  1.000  1.000  1.000 1.053   110
gamma[4]    0.670   0.470  0.000  0.000  1.000  1.000  1.000 1.075    41
gamma[5]    0.545   0.498  0.000  0.000  1.000  1.000  1.000 1.025   100
gamma[6]    0.603   0.489  0.000  0.000  1.000  1.000  1.000 1.003  1200
gamma[7]    0.202   0.402  0.000  0.000  0.000  0.000  1.000 1.031   120
gamma[8]    0.690   0.463  0.000  0.000  1.000  1.000  1.000 1.065    47
gamma[9]    0.389   0.488  0.000  0.000  0.000  1.000  1.000 1.011   250
gamma[10]   0.405   0.491  0.000  0.000  0.000  1.000  1.000 1.015   170
gamma[11]   0.580   0.494  0.000  0.000  1.000  1.000  1.000 1.007   370
gamma[12]   0.756   0.430  0.000  1.000  1.000  1.000  1.000 1.040    84
gamma[13]   0.535   0.499  0.000  0.000  1.000  1.000  1.000 1.027    99
gamma[14]   0.531   0.499  0.000  0.000  1.000  1.000  1.000 1.017   150
theta[1]    0.268   0.557 -0.426  0.022  0.153  0.554  1.267 1.030   290
theta[2]    0.294   0.606 -0.447  0.092  0.176  0.535  1.296 1.014  1200
theta[3]    0.512   0.460 -0.122  0.173  0.473  0.815  1.312 1.034   120
theta[4]    0.333   0.618 -0.563  0.116  0.332  0.671  1.250 1.084   240
theta[5]    0.045   1.644 -2.006 -0.143  0.100  0.181  1.203 1.177   490
theta[6]   -0.052   0.840 -2.477 -0.159  0.105  0.199  0.933 1.048   200
theta[7]    0.147   0.793 -0.863 -0.085  0.109  0.360  1.246 1.045   410
theta[8]    0.167   0.530 -0.636  0.085  0.138  0.200  1.243 1.041    99
theta[9]    0.107   0.667 -0.932 -0.076  0.114  0.209  1.232 1.068   130
theta[10]   0.122   0.859 -0.876 -0.069  0.112  0.201  1.248 1.046   340
theta[11]   0.175   0.685 -0.662  0.038  0.136  0.252  1.247 1.090    90
theta[12]   0.396   0.589 -0.304  0.118  0.249  0.684  1.305 1.133   130
theta[13]  -0.002   0.730 -0.853 -0.274 -0.081  0.136  1.231 1.047   190
theta[14]   0.037   0.701 -0.786 -0.247  0.080  0.162  1.231 1.061   150
xi[1]       0.035   1.370 -2.165 -0.345  0.057  0.424  2.123 1.019  4000
xi[2]       0.072   1.777 -2.128 -0.316  0.056  0.462  2.154 1.060  5000
xi[3]       0.008   1.495 -2.474 -0.346  0.031  0.412  2.216 1.032  5000
xi[4]       0.082   1.756 -2.070 -0.327  0.058  0.437  2.582 1.073  5000
xi[5]       0.031   1.910 -2.163 -0.350  0.032  0.384  2.366 1.046  2900
xi[6]       0.049   2.186 -2.261 -0.364  0.034  0.423  2.524 1.045  3000
xi[7]       0.004   2.078 -2.308 -0.358  0.039  0.435  2.461 1.116  1500
xi[8]       0.003   1.587 -2.412 -0.359  0.022  0.439  2.363 1.027  5000
xi[9]       0.037   2.282 -2.475 -0.379  0.018  0.419  2.153 1.148  1300
xi[10]      0.019   1.626 -2.216 -0.395 -0.007  0.409  2.328 1.053  5000
xi[11]      0.018   1.525 -2.107 -0.369  0.000  0.422  2.138 1.027  3200
xi[12]      0.014   2.151 -2.465 -0.393 -0.004  0.405  2.231 1.114  5000
xi[13]      0.053   1.673 -2.398 -0.364  0.067  0.454  2.198 1.024  1600
xi[14]      0.027   1.604 -2.196 -0.357  0.007  0.399  2.294 1.034  5000
xi[15]      0.006   1.736 -2.245 -0.349  0.050  0.457  2.176 1.037  3300
xi[16]     -0.005   1.396 -2.210 -0.399 -0.001  0.393  2.313 1.020  5000
xi[17]      0.065   1.665 -2.328 -0.336  0.049  0.472  2.267 1.025  5000
xi[18]     -0.034   1.799 -2.424 -0.387  0.004  0.405  2.277 1.048  5000
xi[19]      0.038   2.211 -2.286 -0.374  0.049  0.435  2.302 1.053  4000
xi[20]      0.050   2.251 -2.209 -0.349  0.030  0.442  2.298 1.117  4300
xi[21]      0.003   1.920 -2.469 -0.363  0.020  0.402  2.085 1.036  5000
xi[22]      0.014   1.438 -2.435 -0.383 -0.006  0.405  2.283 1.021  5000
xi[23]      0.038   1.659 -2.300 -0.389  0.015  0.432  2.296 1.041  5000
xi[24]     -0.064   1.592 -2.507 -0.408 -0.002  0.394  2.089 1.024  1300
xi[25]     -0.047   2.045 -2.487 -0.385  0.003  0.400  2.150 1.102  3000
xi[26]     -0.025   1.831 -2.467 -0.397  0.008  0.405  2.355 1.035  2000
xi[27]     -0.022   2.252 -2.346 -0.383 -0.007  0.399  1.936 1.142  5000
xi[28]      0.027   1.628 -2.130 -0.362  0.023  0.430  2.169 1.041  2400
xi[29]      0.033   1.658 -2.277 -0.362  0.017  0.403  2.350 1.027  2000
xi[30]      0.021   1.673 -2.281 -0.386  0.011  0.407  2.366 1.055  2900
xi[31]      0.068   1.926 -2.288 -0.340  0.045  0.426  2.519 1.110  3600
xi[32]      0.006   2.044 -2.210 -0.366  0.029  0.357  2.461 1.096  5000
xi[33]      0.022   1.717 -2.204 -0.371 -0.015  0.375  2.181 1.076  5000
xi[34]      0.054   1.790 -2.192 -0.333  0.066  0.373  2.295 1.077  5000
xi[35]     -0.014   1.728 -2.210 -0.369  0.005  0.390  2.345 1.064  5000
xi[36]     -0.058   1.799 -2.589 -0.391 -0.002  0.381  2.049 1.057  1400
xi[37]      0.011   2.265 -2.532 -0.395 -0.006  0.370  2.420 1.107  4000
xi[38]     -0.018   2.100 -2.407 -0.335  0.057  0.313  1.962 1.145  3800
xi[39]      0.018   1.599 -2.081 -0.310  0.046  0.383  2.105 1.036  1700
deviance    7.839   6.620 -5.027  3.573  7.990 11.884 20.745 1.017   160

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 21.5 and DIC = 29.4
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       12.453  13.804  1.000  2.000  6.000 20.000 39.000 1.673     8
S[2]       17.528  15.750  1.000  2.000 10.000 37.000 39.000 2.010     6
S[3]       24.327  13.971  1.000 10.000 28.000 37.000 39.000 2.164     6
S[4]       12.899  13.428  1.000  2.000  7.000 23.000 39.000 1.352    11
S[5]       15.685  14.722  1.000  2.000  9.000 33.000 39.000 2.339     6
S[6]       12.485  13.574  1.000  2.000  7.000 20.000 39.000 1.524     9
S[7]       12.951  13.718  1.000  2.000  7.000 23.000 39.000 1.317    12
S[8]       17.016  15.163  1.000  3.000 10.000 36.000 39.000 2.455     5
S[9]       12.932  13.975  1.000  2.000  6.000 24.000 39.000 1.481     9
S[10]      14.905  14.813  1.000  2.000  8.000 30.000 39.000 1.991     6
S[11]      15.276  15.008  1.000  2.000  8.000 34.000 39.000 1.545     9
S[12]      16.697  16.070  1.000  2.000  8.000 37.000 39.000 2.847     5
S[13]      10.534  11.802  1.000  2.000  6.000 13.000 39.000 1.351    12
S[14]      14.751  14.410  1.000  2.000  8.000 29.000 39.000 1.523     9
beta[1]     0.103   0.234 -0.218  0.000  0.000  0.143  0.730 1.282    15
beta[2]     0.203   0.300 -0.115  0.000  0.092  0.357  0.954 1.088    49
beta[3]     0.462   0.366  0.000  0.066  0.498  0.750  1.119 1.113    28
beta[4]     0.273   0.329 -0.168  0.000  0.142  0.535  0.976 1.126    27
beta[5]     0.035   0.165 -0.311  0.000  0.000  0.099  0.499 1.050   430
beta[6]    -0.022   0.240 -0.670 -0.003  0.000  0.086  0.255 1.193    38
beta[7]    -0.013   0.039 -0.131  0.000  0.000  0.000  0.036 1.093    51
beta[8]     0.105   0.071  0.000  0.047  0.117  0.155  0.230 1.033   100
beta[9]     0.015   0.112 -0.255  0.000  0.000  0.085  0.231 1.046    63
beta[10]    0.017   0.109 -0.293  0.000  0.000  0.083  0.199 1.127    29
beta[11]    0.035   0.147 -0.284  0.000  0.000  0.106  0.385 1.040   170
beta[12]    0.215   0.306 -0.034  0.000  0.114  0.247  1.090 1.202    24
beta[13]   -0.077   0.135 -0.425 -0.141  0.000  0.000  0.102 1.050    64
beta[14]   -0.034   0.148 -0.428 -0.027  0.000  0.000  0.160 1.023   200
gamma[1]    0.632   0.482  0.000  0.000  1.000  1.000  1.000 1.059    49
gamma[2]    0.620   0.485  0.000  0.000  1.000  1.000  1.000 1.038    74
gamma[3]    0.782   0.413  0.000  1.000  1.000  1.000  1.000 1.177    23
gamma[4]    0.764   0.425  0.000  1.000  1.000  1.000  1.000 1.044    77
gamma[5]    0.481   0.500  0.000  0.000  0.000  1.000  1.000 1.013   210
gamma[6]    0.567   0.496  0.000  0.000  1.000  1.000  1.000 1.070    41
gamma[7]    0.225   0.418  0.000  0.000  0.000  0.000  1.000 1.082    45
gamma[8]    0.764   0.425  0.000  1.000  1.000  1.000  1.000 1.049    70
gamma[9]    0.499   0.500  0.000  0.000  0.000  1.000  1.000 1.029    91
gamma[10]   0.438   0.496  0.000  0.000  0.000  1.000  1.000 1.069    41
gamma[11]   0.478   0.500  0.000  0.000  0.000  1.000  1.000 1.011   250
gamma[12]   0.678   0.467  0.000  0.000  1.000  1.000  1.000 1.035    83
gamma[13]   0.486   0.500  0.000  0.000  0.000  1.000  1.000 1.056    50
gamma[14]   0.504   0.500  0.000  0.000  1.000  1.000  1.000 1.031    86
theta[1]    0.172   0.807 -0.406 -0.006  0.121  0.255  1.036 1.246   150
theta[2]    0.316   0.399 -0.375  0.101  0.197  0.606  1.100 1.032   230
theta[3]    0.521   0.393 -0.339  0.263  0.587  0.763  1.141 1.051    97
theta[4]    0.288   0.671 -0.530  0.091  0.198  0.576  1.041 1.205   110
theta[5]    0.170   0.440 -0.515  0.025  0.133  0.303  0.964 1.050   230
theta[6]    0.095   0.683 -0.922 -0.085  0.104  0.218  0.821 1.194    99
theta[7]    0.119   0.433 -0.641 -0.083  0.100  0.251  0.921 1.070    53
theta[8]    0.180   0.561 -0.428  0.103  0.141  0.190  0.961 1.152   280
theta[9]    0.126   0.772 -0.516 -0.069  0.108  0.217  1.001 1.201   240
theta[10]   0.140   0.617 -0.644  0.001  0.123  0.240  0.940 1.181   310
theta[11]   0.156   0.756 -0.672  0.007  0.134  0.286  0.835 1.124   190
theta[12]   0.302   0.361 -0.222  0.110  0.170  0.509  1.117 1.053    82
theta[13]   0.023   0.487 -0.632 -0.181  0.043  0.140  0.738 1.098    75
theta[14]   0.106   0.791 -0.605 -0.121  0.100  0.197  0.994 1.155   680
xi[1]       0.064   1.298 -1.553 -0.245  0.087  0.413  1.487 1.079   380
xi[2]       0.010   1.739 -1.847 -0.340  0.037  0.383  1.849 1.025  2700
xi[3]       0.015   1.738 -1.924 -0.322  0.026  0.345  1.941 1.110  4200
xi[4]       0.008   1.629 -1.904 -0.371  0.006  0.394  1.775 1.068  5000
xi[5]       0.012   1.398 -1.839 -0.345  0.047  0.432  1.796 1.013  2000
xi[6]      -0.012   1.527 -1.967 -0.361 -0.010  0.352  2.043 1.037  5000
xi[7]       0.048   1.931 -1.984 -0.352  0.028  0.357  2.000 1.053  2500
xi[8]      -0.001   1.502 -2.048 -0.366  0.017  0.371  1.960 1.052  5000
xi[9]       0.004   1.506 -2.024 -0.358 -0.015  0.385  1.956 1.016  5000
xi[10]      0.037   1.344 -1.821 -0.334  0.019  0.393  1.934 1.042  4000
xi[11]     -0.027   2.013 -1.952 -0.387 -0.010  0.363  2.032 1.080  5000
xi[12]      0.005   1.755 -2.066 -0.380  0.008  0.393  2.029 1.070  5000
xi[13]      0.035   1.643 -1.948 -0.359  0.019  0.421  2.102 1.022  2300
xi[14]     -0.028   1.780 -2.006 -0.390  0.010  0.389  1.962 1.050  5000
xi[15]     -0.012   1.656 -1.920 -0.355  0.016  0.397  1.851 1.034  2700
xi[16]      0.032   1.642 -1.867 -0.390  0.012  0.405  2.023 1.095  5000
xi[17]     -0.014   1.399 -2.027 -0.403 -0.010  0.380  1.911 1.038  5000
xi[18]      0.003   1.714 -2.027 -0.399  0.011  0.398  1.867 1.071  5000
xi[19]      0.018   1.958 -2.089 -0.411 -0.011  0.375  2.036 1.024  5000
xi[20]     -0.028   1.701 -2.004 -0.377  0.004  0.418  1.945 1.058  5000
xi[21]      0.005   1.547 -2.014 -0.391  0.002  0.401  1.917 1.069  2500
xi[22]      0.008   1.856 -1.939 -0.366  0.007  0.429  1.976 1.079  5000
xi[23]      0.017   1.473 -1.817 -0.368  0.024  0.427  2.000 1.022  5000
xi[24]      0.012   1.480 -1.941 -0.378 -0.014  0.372  1.928 1.017  3300
xi[25]      0.052   1.938 -1.913 -0.371  0.018  0.409  2.040 1.042  4500
xi[26]      0.032   1.398 -1.997 -0.374  0.024  0.432  1.888 1.036  5000
xi[27]      0.014   1.506 -1.932 -0.329  0.058  0.436  1.973 1.114  2200
xi[28]      0.016   1.951 -1.914 -0.380  0.017  0.431  2.087 1.064  1600
xi[29]      0.002   1.801 -1.914 -0.383  0.021  0.415  1.996 1.066  5000
xi[30]      0.012   1.673 -2.113 -0.362  0.029  0.435  2.042 1.052  5000
xi[31]      0.004   1.688 -2.038 -0.376  0.013  0.431  1.910 1.066  2700
xi[32]     -0.012   1.754 -2.033 -0.406  0.001  0.389  1.814 1.034  5000
xi[33]      0.036   1.573 -1.935 -0.351  0.045  0.458  2.002 1.059  5000
xi[34]      0.031   1.458 -1.831 -0.356  0.048  0.421  1.986 1.040  5000
xi[35]      0.002   1.562 -1.971 -0.377  0.011  0.393  1.873 1.058  5000
xi[36]      0.051   1.794 -2.053 -0.348  0.055  0.464  1.914 1.048  1500
xi[37]      0.045   1.663 -1.880 -0.341  0.062  0.463  1.875 1.005  4100
xi[38]      0.031   1.599 -1.899 -0.313  0.106  0.465  1.765 1.040   570
xi[39]      0.082   1.356 -1.792 -0.261  0.126  0.465  1.714 1.111  1200
deviance    8.749   6.927 -4.954  4.488  8.592 12.938 22.277 1.105    30

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 21.5 and DIC = 30.2
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       21.554   7.525  2.000 20.000 22.000 26.000 36.025 1.228    25
S[2]       23.381   6.770  2.975 21.000 24.000 28.000 34.000 1.330    29
S[3]       25.462   5.482 15.000 21.000 26.000 30.000 34.000 1.509     9
S[4]       23.578   7.862  2.000 21.000 26.000 28.000 35.000 1.342    17
S[5]       22.975   7.259  4.000 20.000 22.000 27.000 37.000 1.198    61
S[6]       18.910   8.169  4.000 12.000 21.000 24.000 36.000 1.594     8
S[7]       23.317   7.456  4.000 20.000 22.000 28.000 38.000 1.110    92
S[8]       21.183   6.695  2.000 20.000 21.000 22.000 34.000 1.429    18
S[9]       22.319   8.065  2.000 19.000 22.000 27.000 38.000 1.372    18
S[10]      21.811   7.796  2.000 20.000 22.000 27.000 37.000 1.191    37
S[11]      21.514   7.724  2.000 20.000 22.000 26.000 37.000 1.282    21
S[12]      24.335   6.518  6.000 21.000 23.000 30.000 34.025 1.267    16
S[13]      21.878   7.417  4.000 19.000 22.000 27.000 37.000 1.208    33
S[14]      21.601   7.664  3.000 19.000 22.000 27.000 37.000 1.185    36
beta[1]     0.122   0.214  0.000  0.000  0.000  0.151  0.728 1.318    16
beta[2]     0.291   0.371 -0.027  0.000  0.122  0.632  1.186 1.330    13
beta[3]     0.499   0.532 -0.469  0.000  0.439  0.973  1.411 3.199     5
beta[4]     0.359   0.411  0.000  0.000  0.194  0.724  1.258 2.406     6
beta[5]     0.019   0.078 -0.089  0.000  0.000  0.000  0.229 1.101    81
beta[6]    -0.261   0.530 -1.616 -0.498  0.000  0.000  0.223 4.066     4
beta[7]    -0.005   0.026 -0.106  0.000  0.000  0.000  0.000 1.079   120
beta[8]     0.089   0.078  0.000  0.000  0.107  0.152  0.225 1.752     7
beta[9]    -0.001   0.061 -0.181  0.000  0.000  0.000  0.133 1.049   420
beta[10]    0.022   0.060  0.000  0.000  0.000  0.000  0.177 1.022   140
beta[11]    0.054   0.148 -0.061  0.000  0.000  0.000  0.565 1.143   110
beta[12]    0.365   0.530  0.000  0.000  0.100  0.930  1.416 7.088     4
beta[13]   -0.019   0.071 -0.289  0.000  0.000  0.000  0.000 1.123    79
beta[14]   -0.005   0.071 -0.235  0.000  0.000  0.000  0.142 1.160    56
gamma[1]    0.371   0.483  0.000  0.000  0.000  1.000  1.000 1.213    17
gamma[2]    0.575   0.494  0.000  0.000  1.000  1.000  1.000 1.154    21
gamma[3]    0.731   0.444  0.000  0.000  1.000  1.000  1.000 1.443    10
gamma[4]    0.566   0.496  0.000  0.000  1.000  1.000  1.000 2.249     6
gamma[5]    0.190   0.392  0.000  0.000  0.000  0.000  1.000 1.178    24
gamma[6]    0.447   0.497  0.000  0.000  0.000  1.000  1.000 1.723     7
gamma[7]    0.072   0.258  0.000  0.000  0.000  0.000  1.000 1.042   190
gamma[8]    0.620   0.485  0.000  0.000  1.000  1.000  1.000 1.800     7
gamma[9]    0.127   0.333  0.000  0.000  0.000  0.000  1.000 1.027   180
gamma[10]   0.194   0.395  0.000  0.000  0.000  0.000  1.000 1.028   130
gamma[11]   0.271   0.445  0.000  0.000  0.000  1.000  1.000 1.022   140
gamma[12]   0.563   0.496  0.000  0.000  1.000  1.000  1.000 1.589     8
gamma[13]   0.140   0.347  0.000  0.000  0.000  0.000  1.000 1.017   270
gamma[14]   0.164   0.370  0.000  0.000  0.000  0.000  1.000 1.053    79
theta[1]    0.178   0.785 -1.897  0.094  0.188  0.655  1.647 1.155    31
theta[2]    0.365   0.705 -1.827  0.130  0.418  0.720  1.457 1.184    67
theta[3]    0.608   0.560 -0.554  0.167  0.656  1.070  1.502 1.719     7
theta[4]    0.387   0.817 -1.899  0.162  0.622  0.816  1.540 1.305    17
theta[5]    0.324   0.754 -1.678  0.101  0.212  0.722  1.793 1.113   240
theta[6]   -0.092   0.841 -1.724 -0.786  0.126  0.428  1.643 1.774     7
theta[7]    0.364   0.780 -1.686  0.079  0.255  0.733  1.896 1.044   230
theta[8]    0.141   0.696 -1.811  0.103  0.148  0.220  1.465 1.272    44
theta[9]    0.256   0.838 -1.857 -0.014  0.176  0.699  1.854 1.168    37
theta[10]   0.208   0.819 -1.878  0.048  0.165  0.679  1.785 1.099    71
theta[11]   0.181   0.804 -1.892  0.064  0.169  0.666  1.756 1.182    31
theta[12]   0.474   0.685 -1.452  0.128  0.286  1.096  1.521 1.630     8
theta[13]   0.209   0.776 -1.669 -0.108  0.162  0.677  1.768 1.106    64
theta[14]   0.186   0.797 -1.804 -0.078  0.155  0.678  1.715 1.122    73
xi[1]      -1.999   0.215 -2.270 -2.043 -1.999 -1.955 -1.735 1.173  5000
xi[2]      -1.895   0.207 -2.168 -1.942 -1.896 -1.851 -1.607 1.175  4100
xi[3]      -1.789   0.203 -2.057 -1.835 -1.788 -1.743 -1.525 1.163  5000
xi[4]      -1.686   0.190 -1.975 -1.729 -1.685 -1.639 -1.393 1.150  5000
xi[5]      -1.581   0.185 -1.860 -1.624 -1.580 -1.535 -1.307 1.140  2100
xi[6]      -1.471   0.198 -1.746 -1.520 -1.472 -1.427 -1.177 1.130  5000
xi[7]      -1.364   0.185 -1.632 -1.414 -1.367 -1.321 -1.075 1.148  5000
xi[8]      -1.262   0.177 -1.533 -1.308 -1.264 -1.218 -0.969 1.121  1100
xi[9]      -1.153   0.201 -1.429 -1.204 -1.157 -1.111 -0.892 1.147  1500
xi[10]     -1.052   0.228 -1.301 -1.098 -1.052 -1.009 -0.785 1.193  5000
xi[11]     -0.947   0.181 -1.223 -0.992 -0.947 -0.903 -0.681 1.135  5000
xi[12]     -0.839   0.195 -1.115 -0.886 -0.841 -0.796 -0.577 1.173  3100
xi[13]     -0.736   0.205 -1.018 -0.786 -0.738 -0.693 -0.449 1.156  5000
xi[14]     -0.632   0.205 -0.900 -0.675 -0.632 -0.587 -0.379 1.138  5000
xi[15]     -0.498   0.231 -0.772 -0.569 -0.523 -0.477 -0.066 1.233    68
xi[16]     -0.422   0.228 -0.690 -0.464 -0.419 -0.373 -0.144 1.164  3700
xi[17]     -0.314   0.204 -0.578 -0.359 -0.316 -0.268 -0.024 1.122  5000
xi[18]     -0.204   0.204 -0.476 -0.251 -0.209 -0.162  0.108 1.144  5000
xi[19]     -0.104   0.192 -0.345 -0.148 -0.106 -0.059  0.168 1.144  1700
xi[20]      0.011   0.188 -0.243 -0.040  0.007  0.060  0.260 1.136  4400
xi[21]      0.111   0.176 -0.149  0.072  0.116  0.154  0.352 1.130  1300
xi[22]      0.211   0.225 -0.041  0.155  0.200  0.246  0.524 1.181   610
xi[23]      0.313   0.196  0.041  0.267  0.316  0.359  0.582 1.115  3200
xi[24]      0.423   0.194  0.178  0.376  0.421  0.464  0.693 1.163  2600
xi[25]      0.529   0.175  0.252  0.483  0.528  0.574  0.783 1.109  4000
xi[26]      0.633   0.193  0.334  0.590  0.636  0.678  0.890 1.131  5000
xi[27]      0.727   0.223  0.446  0.688  0.732  0.779  0.980 1.187  1300
xi[28]      0.833   0.176  0.557  0.787  0.836  0.883  1.095 1.120   330
xi[29]      0.951   0.182  0.700  0.904  0.948  0.993  1.225 1.149  2200
xi[30]      1.053   0.173  0.781  1.006  1.053  1.098  1.329 1.125  5000
xi[31]      1.162   0.175  0.905  1.111  1.158  1.207  1.437 1.102  1200
xi[32]      1.264   0.273  1.004  1.219  1.263  1.311  1.517 1.219  5000
xi[33]      1.371   0.227  1.104  1.324  1.369  1.414  1.650 1.188  5000
xi[34]      1.473   0.222  1.195  1.427  1.473  1.518  1.745 1.185  5000
xi[35]      1.576   0.215  1.294  1.533  1.579  1.625  1.844 1.184  5000
xi[36]      1.685   0.227  1.398  1.637  1.684  1.728  1.958 1.178  2400
xi[37]      1.784   0.199  1.490  1.744  1.789  1.833  2.044 1.149  3600
xi[38]      1.891   0.200  1.613  1.848  1.894  1.941  2.177 1.161  2000
xi[39]      1.998   0.228  1.729  1.953  1.999  2.046  2.254 1.105  5000
deviance    9.180   5.681 -0.523  5.587  8.157 12.365 21.738 1.371    11

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 11.4 and DIC = 20.6
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       19.784  10.443  2.000 10.000 24.000 27.000 37.000 1.430    10
S[2]       19.142  10.192  2.000  8.000 25.000 27.000 35.000 1.305    13
S[3]       19.328  10.373  1.000  8.000 25.000 27.000 38.000 1.376    11
S[4]       21.420  10.163  2.000 16.000 26.000 28.000 35.025 1.454    10
S[5]       17.641  11.027  1.000  5.000 21.000 27.000 38.000 1.093    32
S[6]       18.356  10.969  1.000  7.000 21.000 27.000 38.000 1.135    24
S[7]       19.662  10.519  2.000 10.000 23.000 27.000 38.000 1.102    32
S[8]       17.279  10.033  1.000  7.000 21.000 25.000 36.000 1.225    17
S[9]       18.856  10.936  1.000  7.000 22.000 27.000 38.000 1.141    23
S[10]      18.653  11.013  1.000  7.000 21.000 27.000 39.000 1.129    25
S[11]      18.227  10.861  1.000  6.000 21.000 27.000 38.000 1.168    20
S[12]      19.514  10.337  2.000  7.000 24.000 27.000 37.000 1.526     9
S[13]      18.891  10.861  1.000  7.000 22.000 27.000 38.000 1.106    30
S[14]      19.610  11.213  1.000  8.000 22.000 27.000 39.000 1.248    15
beta[1]     0.179   0.338 -0.130  0.000  0.000  0.180  0.935 2.190     6
beta[2]     0.171   0.295 -0.142  0.000  0.000  0.457  0.716 3.162     5
beta[3]     0.359   0.393  0.000  0.000  0.194  0.674  1.125 2.611     5
beta[4]     0.422   0.409  0.000  0.000  0.492  0.736  1.090 3.047     5
beta[5]     0.025   0.132 -0.180  0.000  0.000  0.000  0.454 1.212    44
beta[6]    -0.023   0.152 -0.423  0.000  0.000  0.000  0.116 1.152    66
